,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
0,10,Counter-Strike,Valve,Valve,,243818,6427,0,"10,000,000 .. 20,000,000",10985,851,177,58,999,999,0,7323
1,20,Team Fortress Classic,Valve,Valve,,7602,1136,0,"1,000,000 .. 2,000,000",146,15,14,15,499,499,0,66
2,30,Day of Defeat,Valve,Valve,,6414,688,0,"5,000,000 .. 10,000,000",545,0,15,0,499,499,0,87
3,40,Deathmatch Classic,Valve,Valve,,2618,545,0,"5,000,000 .. 10,000,000",107,0,7,0,499,499,0,7
4,50,Half-Life: Opposing Force,Gearbox Software,Valve,,24363,1198,0,"2,000,000 .. 5,000,000",353,12,159,12,499,499,0,74
5,60,Ricochet,Valve,Valve,,4989,1039,0,"200,000 .. 500,000",46,0,2,0,499,499,0,4
6,70,Half-Life,Valve,Valve,,143086,5135,0,"10,000,000 .. 20,000,000",582,68,133,66,999,999,0,634
7,80,Counter-Strike: Condition Zero,Valve,Valve,,24271,2287,0,"5,000,000 .. 10,000,000",1150,61,31,103,999,999,0,276
8,100,Counter-Strike: Condition Zero,Valve,Valve,,13442,1535,0,"10,000,000 .. 20,000,000",357,1,33,1,999,999,0,83
9,130,Half-Life: Blue Shift,Gearbox Software,Valve,,17384,1410,0,"1,000,000 .. 2,000,000",186,0,100,0,499,499,0,35
10,220,Half-Life 2,Valve,Valve,,239721,5906,0,"10,000,000 .. 20,000,000",742,208,350,143,999,999,0,1555
11,240,Counter-Strike: Source,Valve,Valve,,175426,6808,0,"10,000,000 .. 20,000,000",7278,132,385,54,999,999,0,6187
12,280,Half-Life: Source,Valve,Valve,,11068,4988,0,"2,000,000 .. 5,000,000",247,59,66,59,999,999,0,27
13,300,Day of Defeat: Source,Valve,Valve,,20798,1891,0,"2,000,000 .. 5,000,000",1762,1210,135,2062,999,999,0,238
14,320,Half-Life 2: Deathmatch,Valve,Valve,,12962,1334,0,"10,000,000 .. 20,000,000",379,3,37,3,1999,1999,0,159
