game_key,developer_key,allocation_factor,is_primary
1,9028,1.0,1
2,3331,1.0,1
3,3408,1.0,1
4,4534,1.0,1
5,7823,1.0,1
6,3330,1.0,1
7,8905,0.333333,1
7,3463,0.333333,0
7,8906,0.333333,0
8,9173,1.0,1
9,5242,1.0,1
10,8843,1.0,1
11,4340,1.0,1
12,6482,1.0,1
13,4578,1.0,1
14,3995,0.5,1
14,5064,0.5,0
15,266,1.0,1
16,1141,1.0,1
17,1406,1.0,1
18,7306,1.0,1
19,9299,1.0,1
20,56,0.5,1
20,226,0.5,0
21,6780,1.0,1
22,6577,1.0,1
23,4511,1.0,1
24,9655,0.5,1
24,4109,0.5,0
25,7534,1.0,1
26,8603,1.0,1
27,9990,0.5,1
27,10051,0.5,0
28,11741,1.0,1
29,7935,1.0,1
30,11967,1.0,1
31,4937,1.0,1
32,7967,0.5,1
32,5589,0.5,0
33,6607,1.0,1
34,5098,1.0,1
35,5805,1.0,1
36,6609,1.0,1
37,7544,1.0,1
38,4387,1.0,1
39,11736,0.5,1
39,8683,0.5,0
40,2247,1.0,1
41,10832,1.0,1
42,8742,1.0,1
43,1993,1.0,1
44,6970,1.0,1
45,10677,1.0,1
46,3599,1.0,1
47,8154,1.0,1
48,10663,1.0,1
49,8276,1.0,1
50,892,1.0,1
51,12027,1.0,1
52,8181,1.0,1
53,217,1.0,1
54,2278,1.0,1
55,7102,1.0,1
56,22,1.0,1
57,11916,1.0,1
58,10832,1.0,1
59,31,0.5,1
59,3568,0.5,0
60,8859,1.0,1
61,9031,1.0,1
62,5403,1.0,1
63,4370,1.0,1
64,5515,0.5,1
64,3423,0.5,0
65,11339,1.0,1
66,5201,0.166667,1
66,6218,0.166667,0
66,4725,0.166667,0
66,9685,0.166667,0
66,11157,0.166667,0
66,5912,0.166667,0
67,7767,1.0,1
68,4971,1.0,1
69,9716,1.0,1
70,7493,1.0,1
71,10409,1.0,1
72,6380,1.0,1
73,9492,1.0,1
74,12069,1.0,1
75,3644,1.0,1
76,6517,1.0,1
77,8334,1.0,1
78,6480,1.0,1
79,5098,1.0,1
80,1117,1.0,1
81,10763,1.0,1
82,4415,1.0,1
83,9555,1.0,1
84,3545,1.0,1
85,4462,1.0,1
86,10677,0.5,1
86,3976,0.5,0
87,4800,0.25,1
87,5264,0.25,0
87,5032,0.25,0
87,2639,0.25,0
88,9352,1.0,1
89,9474,1.0,1
90,10701,1.0,1
91,1720,1.0,1
92,9231,1.0,1
93,6194,1.0,1
94,573,0.5,1
94,3777,0.5,0
95,122,1.0,1
96,5911,1.0,1
97,3977,1.0,1
98,6550,1.0,1
99,892,0.5,1
99,3278,0.5,0
100,3345,1.0,1
101,2459,1.0,1
102,9930,1.0,1
103,3386,1.0,1
104,10773,1.0,1
105,8535,1.0,1
106,528,1.0,1
107,9028,1.0,1
108,1201,1.0,1
109,6182,1.0,1
110,3281,1.0,1
111,6587,1.0,1
112,5996,0.5,1
112,8880,0.5,0
113,4909,1.0,1
114,154,1.0,1
115,7783,1.0,1
116,8679,1.0,1
117,11478,1.0,1
118,9502,1.0,1
119,9973,1.0,1
120,4504,1.0,1
121,4501,1.0,1
122,6930,1.0,1
123,562,0.5,1
123,2769,0.5,0
124,2357,1.0,1
125,1802,1.0,1
126,4826,1.0,1
127,9891,1.0,1
128,9558,1.0,1
129,8141,1.0,1
130,2119,1.0,1
131,9028,1.0,1
132,6248,1.0,1
133,1508,1.0,1
134,4944,1.0,1
135,4623,1.0,1
136,9542,1.0,1
137,3189,1.0,1
138,6791,1.0,1
139,2530,1.0,1
140,6835,0.5,1
140,3013,0.5,0
141,8766,1.0,1
142,3189,1.0,1
143,6052,1.0,1
144,3328,1.0,1
145,3430,1.0,1
146,4999,1.0,1
147,12071,1.0,1
148,1759,1.0,1
149,3114,1.0,1
150,10259,1.0,1
151,10719,1.0,1
152,8963,1.0,1
153,5932,1.0,1
154,6670,1.0,1
155,8911,1.0,1
156,9355,1.0,1
157,2834,1.0,1
158,4994,1.0,1
159,271,1.0,1
160,10194,1.0,1
161,11097,1.0,1
162,11301,1.0,1
163,4018,1.0,1
164,6859,1.0,1
165,562,0.5,1
165,1718,0.5,0
166,59,0.5,1
166,2520,0.5,0
167,11570,1.0,1
168,10379,1.0,1
169,10494,1.0,1
170,5545,0.333333,1
170,2599,0.333333,0
170,6229,0.333333,0
171,4125,1.0,1
172,627,1.0,1
173,10435,1.0,1
174,2250,1.0,1
175,10791,1.0,1
176,889,1.0,1
177,1950,1.0,1
178,3963,1.0,1
179,9464,1.0,1
180,8366,1.0,1
181,9157,1.0,1
182,276,1.0,1
183,7386,1.0,1
184,2145,1.0,1
185,8083,1.0,1
186,1034,1.0,1
187,5919,1.0,1
188,11615,1.0,1
189,2242,1.0,1
190,1536,1.0,1
191,3929,1.0,1
192,6160,1.0,1
193,7833,1.0,1
194,7875,1.0,1
195,11052,1.0,1
196,4753,0.333333,1
196,5718,0.333333,0
196,5712,0.333333,0
197,1476,1.0,1
198,9914,1.0,1
199,9304,1.0,1
200,9626,1.0,1
201,10048,1.0,1
202,10989,1.0,1
203,11927,1.0,1
204,1318,1.0,1
205,5110,1.0,1
206,3031,1.0,1
207,2727,0.5,1
207,10465,0.5,0
208,7900,0.5,1
208,7805,0.5,0
209,11622,1.0,1
210,7232,1.0,1
211,428,1.0,1
212,5126,1.0,1
213,5585,1.0,1
214,5987,1.0,1
215,5088,1.0,1
216,6214,1.0,1
217,3322,1.0,1
218,7485,1.0,1
219,8236,1.0,1
220,3323,1.0,1
221,8367,1.0,1
222,10928,1.0,1
223,562,1.0,1
224,6413,1.0,1
225,2042,1.0,1
226,9773,1.0,1
227,4541,0.5,1
227,1975,0.5,0
228,217,1.0,1
229,5137,1.0,1
230,8240,1.0,1
231,9028,1.0,1
232,3972,1.0,1
233,9303,1.0,1
234,5815,1.0,1
235,10785,1.0,1
236,6093,1.0,1
237,52,1.0,1
238,11280,1.0,1
239,6546,1.0,1
240,2180,1.0,1
241,9084,1.0,1
242,4186,1.0,1
243,11779,1.0,1
244,572,1.0,1
245,5665,1.0,1
246,1573,1.0,1
247,10113,0.2,1
247,1089,0.2,0
247,308,0.2,0
247,4204,0.2,0
247,4711,0.2,0
248,7370,1.0,1
249,10803,1.0,1
250,6760,0.5,1
250,5222,0.5,0
251,9446,1.0,1
252,2994,1.0,1
253,549,1.0,1
254,669,1.0,1
255,9025,1.0,1
256,7406,1.0,1
257,3928,1.0,1
258,11583,1.0,1
259,5472,1.0,1
260,9125,1.0,1
261,218,1.0,1
262,11299,1.0,1
263,8910,1.0,1
264,5627,1.0,1
265,11798,1.0,1
266,8520,1.0,1
267,5637,1.0,1
268,10837,1.0,1
269,4431,1.0,1
270,8978,1.0,1
271,10670,1.0,1
272,1699,1.0,1
273,7303,1.0,1
274,10551,1.0,1
275,3799,1.0,1
276,4250,1.0,1
277,1352,1.0,1
278,7071,0.5,1
278,7072,0.5,0
279,7356,1.0,1
280,7357,1.0,1
281,3641,0.5,1
281,3033,0.5,0
282,4510,1.0,1
283,10811,1.0,1
284,9107,1.0,1
285,11089,1.0,1
286,6060,1.0,1
287,1811,1.0,1
288,9165,1.0,1
289,7670,1.0,1
290,9543,1.0,1
291,6000,1.0,1
292,7583,1.0,1
293,6182,1.0,1
294,8831,1.0,1
295,10781,1.0,1
296,7992,1.0,1
297,10278,1.0,1
298,5895,1.0,1
299,3233,1.0,1
300,4838,1.0,1
301,3821,1.0,1
302,2381,1.0,1
303,11368,0.5,1
303,11571,0.5,0
304,6473,1.0,1
305,4547,1.0,1
306,3616,1.0,1
307,6859,1.0,1
308,7980,1.0,1
309,2841,1.0,1
310,10959,0.5,1
310,4861,0.5,0
311,3118,1.0,1
312,10876,1.0,1
313,1271,1.0,1
314,4678,1.0,1
315,7848,1.0,1
316,7496,1.0,1
317,10453,0.5,1
317,5962,0.5,0
318,9306,1.0,1
319,6689,1.0,1
320,3377,1.0,1
321,3231,0.5,1
321,2100,0.5,0
322,8340,1.0,1
323,9439,1.0,1
324,9415,0.25,1
324,1479,0.25,0
324,6330,0.25,0
324,1906,0.25,0
325,10057,1.0,1
326,3129,1.0,1
327,2856,1.0,1
328,1403,1.0,1
329,1802,1.0,1
330,11128,1.0,1
331,494,1.0,1
332,10759,1.0,1
333,4749,1.0,1
334,9667,1.0,1
335,2351,1.0,1
336,5311,1.0,1
337,5098,1.0,1
338,4568,1.0,1
339,1560,1.0,1
340,11357,1.0,1
341,925,1.0,1
342,5533,1.0,1
343,2937,1.0,1
344,5800,0.5,1
344,552,0.5,0
345,331,0.5,1
345,8987,0.5,0
346,4708,1.0,1
347,2818,1.0,1
348,3434,0.5,1
348,6226,0.5,0
349,3727,1.0,1
350,4182,0.5,1
350,11155,0.5,0
351,11837,1.0,1
352,10364,1.0,1
353,11200,1.0,1
354,10313,1.0,1
355,92,1.0,1
356,11604,1.0,1
357,2280,1.0,1
358,3239,0.5,1
358,1279,0.5,0
359,8201,1.0,1
360,1648,1.0,1
361,7108,1.0,1
362,3081,1.0,1
363,9316,1.0,1
364,3769,1.0,1
365,1256,1.0,1
366,1712,1.0,1
367,12041,1.0,1
368,11860,1.0,1
369,1276,1.0,1
370,6524,1.0,1
371,3907,1.0,1
372,1695,1.0,1
373,4415,1.0,1
374,3171,1.0,1
375,11231,0.5,1
375,11321,0.5,0
376,7456,0.5,1
376,8721,0.5,0
377,11896,1.0,1
378,2575,1.0,1
379,3215,1.0,1
380,7611,1.0,1
381,3425,1.0,1
382,3021,1.0,1
383,3700,1.0,1
384,7372,1.0,1
385,11577,1.0,1
386,9028,1.0,1
387,2722,0.083333,1
387,398,0.083333,0
387,9309,0.083333,0
387,8655,0.083333,0
387,8671,0.083333,0
387,9003,0.083333,0
387,2413,0.083333,0
387,5696,0.083333,0
387,10089,0.083333,0
387,10725,0.083333,0
387,11528,0.083333,0
387,5947,0.083333,0
388,6132,1.0,1
389,2668,0.333333,1
389,4072,0.333333,0
389,5622,0.333333,0
390,3854,1.0,1
391,4660,1.0,1
392,10849,1.0,1
393,10575,1.0,1
394,4676,1.0,1
395,174,1.0,1
396,3984,1.0,1
397,7332,1.0,1
398,5333,1.0,1
399,10768,1.0,1
400,10157,1.0,1
401,9437,1.0,1
402,1914,1.0,1
403,5684,1.0,1
404,9500,1.0,1
405,10200,1.0,1
406,693,1.0,1
407,622,1.0,1
408,11623,1.0,1
409,10451,1.0,1
410,3036,1.0,1
411,838,0.5,1
411,8710,0.5,0
412,7386,1.0,1
413,6932,1.0,1
414,10508,0.5,1
414,11496,0.5,0
415,6167,1.0,1
416,7650,1.0,1
417,10718,0.5,1
417,8841,0.5,0
418,4759,1.0,1
419,8966,0.333333,1
419,837,0.333333,0
419,11188,0.333333,0
420,8647,1.0,1
421,6717,1.0,1
422,6128,1.0,1
423,10148,1.0,1
424,8502,1.0,1
425,10929,1.0,1
426,1995,1.0,1
427,7038,1.0,1
428,5048,1.0,1
429,4316,1.0,1
430,2937,1.0,1
431,7964,1.0,1
432,4966,1.0,1
433,11755,1.0,1
434,9297,1.0,1
435,2557,1.0,1
436,6606,1.0,1
437,8326,1.0,1
438,3073,1.0,1
439,4039,1.0,1
440,4848,1.0,1
441,9055,1.0,1
442,3430,1.0,1
443,858,1.0,1
444,768,1.0,1
445,7563,1.0,1
446,6259,1.0,1
447,1360,1.0,1
448,2861,1.0,1
449,5890,1.0,1
450,6283,1.0,1
451,1785,1.0,1
452,5329,1.0,1
453,1604,1.0,1
454,3486,1.0,1
455,10182,1.0,1
456,6200,1.0,1
457,11074,1.0,1
458,7927,1.0,1
459,11676,1.0,1
460,623,0.5,1
460,2433,0.5,0
461,10066,1.0,1
462,8697,1.0,1
463,1952,1.0,1
464,313,1.0,1
465,317,1.0,1
466,8461,1.0,1
467,932,1.0,1
468,5098,1.0,1
469,11162,1.0,1
470,12007,1.0,1
471,8068,0.5,1
471,1999,0.5,0
472,9125,1.0,1
473,2498,1.0,1
474,8316,1.0,1
475,1208,1.0,1
476,466,1.0,1
477,11214,1.0,1
478,5438,1.0,1
479,376,1.0,1
480,6428,1.0,1
481,7864,1.0,1
482,8458,1.0,1
483,11401,1.0,1
484,884,1.0,1
485,709,1.0,1
486,9153,1.0,1
487,378,1.0,1
488,257,1.0,1
489,6618,1.0,1
490,1760,1.0,1
491,6145,1.0,1
492,3888,1.0,1
493,6940,1.0,1
494,4584,1.0,1
495,562,1.0,1
496,5922,1.0,1
497,4541,0.5,1
497,1975,0.5,0
498,1314,1.0,1
499,8412,0.5,1
499,9469,0.5,0
500,5902,1.0,1
501,9518,1.0,1
502,5995,1.0,1
503,11464,1.0,1
504,5345,1.0,1
505,2794,1.0,1
506,1110,1.0,1
507,5730,1.0,1
508,453,1.0,1
509,884,1.0,1
510,2011,1.0,1
511,9893,1.0,1
512,6530,0.5,1
512,9686,0.5,0
513,7590,1.0,1
514,1481,1.0,1
515,9143,1.0,1
516,11082,1.0,1
