game_key,genre_key,allocation_factor,is_primary
1,11,0.333333,1
1,16,0.333333,0
1,19,0.333333,0
2,16,0.5,1
2,19,0.5,0
3,1,0.333333,1
3,2,0.333333,0
3,11,0.333333,0
4,16,0.5,1
4,19,0.5,0
5,14,0.25,1
5,3,0.25,0
5,6,0.25,0
5,10,0.25,0
6,1,0.2,1
6,11,0.2,0
6,14,0.2,0
6,19,0.2,0
6,7,0.2,0
7,2,0.5,1
7,11,0.5,0
8,11,0.333333,1
8,16,0.333333,0
8,19,0.333333,0
9,1,0.5,1
9,11,0.5,0
10,2,0.5,1
10,11,0.5,0
11,1,0.333333,1
11,5,0.333333,0
11,11,0.333333,0
12,11,0.333333,1
12,16,0.333333,0
12,7,0.333333,0
13,1,0.5,1
13,2,0.5,0
14,1,1.0,1
15,14,0.333333,1
15,16,0.333333,0
15,19,0.333333,0
16,1,0.333333,1
16,2,0.333333,0
16,11,0.333333,0
17,1,0.25,1
17,5,0.25,0
17,11,0.25,0
17,16,0.25,0
18,1,0.5,1
18,11,0.5,0
19,2,0.5,1
19,11,0.5,0
20,1,0.2,1
20,2,0.2,0
20,5,0.2,0
20,11,0.2,0
20,16,0.2,0
21,14,0.333333,1
21,16,0.333333,0
21,19,0.333333,0
22,5,0.166667,1
22,12,0.166667,0
22,16,0.166667,0
22,18,0.166667,0
22,19,0.166667,0
22,9,0.166667,0
23,1,0.25,1
23,11,0.25,0
23,14,0.25,0
23,19,0.25,0
24,1,0.333333,1
24,5,0.333333,0
24,11,0.333333,0
25,1,0.25,1
25,2,0.25,0
25,5,0.25,0
25,11,0.25,0
26,5,0.25,1
26,11,0.25,0
26,16,0.25,0
26,19,0.25,0
27,1,0.25,1
27,2,0.25,0
27,11,0.25,0
27,14,0.25,0
28,1,0.25,1
28,11,0.25,0
28,14,0.25,0
28,16,0.25,0
29,5,0.166667,1
29,11,0.166667,0
29,15,0.166667,0
29,16,0.166667,0
29,18,0.166667,0
29,7,0.166667,0
30,1,0.333333,1
30,2,0.333333,0
30,11,0.333333,0
31,2,0.5,1
31,11,0.5,0
32,1,0.5,1
32,11,0.5,0
33,5,0.5,1
33,11,0.5,0
34,1,0.333333,1
34,2,0.333333,0
34,14,0.333333,0
35,1,1.0,1
36,2,0.5,1
36,11,0.5,0
37,5,0.5,1
37,11,0.5,0
38,11,0.333333,1
38,16,0.333333,0
38,19,0.333333,0
39,2,0.5,1
39,11,0.5,0
40,5,0.333333,1
40,11,0.333333,0
40,19,0.333333,0
41,16,1.0,1
42,5,0.333333,1
42,11,0.333333,0
42,15,0.333333,0
43,2,0.142857,1
43,5,0.142857,0
43,9,0.142857,0
43,11,0.142857,0
43,16,0.142857,0
43,19,0.142857,0
43,7,0.142857,0
44,2,0.5,1
44,11,0.5,0
45,1,0.333333,1
45,2,0.333333,0
45,11,0.333333,0
46,5,0.333333,1
46,11,0.333333,0
46,14,0.333333,0
47,5,0.333333,1
47,11,0.333333,0
47,16,0.333333,0
48,1,0.333333,1
48,2,0.333333,0
48,11,0.333333,0
49,5,1.0,1
50,5,0.333333,1
50,11,0.333333,0
50,16,0.333333,0
51,1,0.333333,1
51,5,0.333333,0
51,11,0.333333,0
52,16,1.0,1
53,2,0.333333,1
53,14,0.333333,0
53,19,0.333333,0
54,11,0.333333,1
54,14,0.333333,0
54,7,0.333333,0
55,2,0.333333,1
55,5,0.333333,0
55,11,0.333333,0
56,1,0.25,1
56,2,0.25,0
56,11,0.25,0
56,14,0.25,0
57,11,0.5,1
57,19,0.5,0
58,5,0.5,1
58,16,0.5,0
59,1,0.333333,1
59,2,0.333333,0
59,11,0.333333,0
60,2,0.5,1
60,11,0.5,0
61,1,0.333333,1
61,11,0.333333,0
61,14,0.333333,0
62,5,0.166667,1
62,9,0.166667,0
62,12,0.166667,0
62,15,0.166667,0
62,16,0.166667,0
62,7,0.166667,0
63,1,0.333333,1
63,2,0.333333,0
63,11,0.333333,0
64,1,0.5,1
64,2,0.5,0
65,1,0.166667,1
65,2,0.166667,0
65,11,0.166667,0
65,14,0.166667,0
65,16,0.166667,0
65,7,0.166667,0
66,2,0.25,1
66,11,0.25,0
66,14,0.25,0
66,19,0.25,0
67,2,0.5,1
67,11,0.5,0
68,1,0.25,1
68,2,0.25,0
68,11,0.25,0
68,16,0.25,0
69,2,0.333333,1
69,5,0.333333,0
69,11,0.333333,0
70,2,0.2,1
70,5,0.2,0
70,11,0.2,0
70,14,0.2,0
70,16,0.2,0
71,2,0.2,1
71,5,0.2,0
71,11,0.2,0
71,14,0.2,0
71,16,0.2,0
72,2,0.5,1
72,11,0.5,0
73,11,0.333333,1
73,14,0.333333,0
73,19,0.333333,0
74,2,0.333333,1
74,5,0.333333,0
74,11,0.333333,0
75,11,0.25,1
75,14,0.25,0
75,19,0.25,0
75,7,0.25,0
76,1,0.2,1
76,5,0.2,0
76,11,0.2,0
76,16,0.2,0
76,19,0.2,0
77,1,0.333333,1
77,11,0.333333,0
77,19,0.333333,0
78,2,0.333333,1
78,5,0.333333,0
78,11,0.333333,0
79,14,1.0,1
80,1,0.25,1
80,2,0.25,0
80,11,0.25,0
80,14,0.25,0
81,2,0.333333,1
81,11,0.333333,0
81,14,0.333333,0
82,2,0.25,1
82,5,0.25,0
82,11,0.25,0
82,14,0.25,0
83,1,1.0,1
84,2,0.5,1
84,11,0.5,0
85,2,1.0,1
86,2,1.0,1
87,1,0.2,1
87,2,0.2,0
87,5,0.2,0
87,11,0.2,0
87,15,0.2,0
88,2,0.5,1
88,11,0.5,0
89,2,0.5,1
89,11,0.5,0
90,2,0.2,1
90,11,0.2,0
90,14,0.2,0
90,16,0.2,0
90,19,0.2,0
91,11,1.0,1
92,1,0.333333,1
92,2,0.333333,0
92,11,0.333333,0
93,1,1.0,1
94,11,0.5,1
94,16,0.5,0
95,1,0.333333,1
95,2,0.333333,0
95,11,0.333333,0
96,2,0.333333,1
96,5,0.333333,0
96,11,0.333333,0
97,1,0.333333,1
97,12,0.333333,0
97,16,0.333333,0
98,2,0.5,1
98,11,0.5,0
99,1,0.166667,1
99,2,0.166667,0
99,5,0.166667,0
99,11,0.166667,0
99,14,0.166667,0
99,16,0.166667,0
100,2,0.333333,1
100,11,0.333333,0
100,12,0.333333,0
101,1,0.333333,1
101,2,0.333333,0
101,11,0.333333,0
102,1,0.333333,1
102,5,0.333333,0
102,11,0.333333,0
103,11,0.5,1
103,14,0.5,0
104,2,0.25,1
104,5,0.25,0
104,11,0.25,0
104,9,0.25,0
105,5,0.5,1
105,11,0.5,0
106,11,0.333333,1
106,14,0.333333,0
106,16,0.333333,0
107,11,0.333333,1
107,16,0.333333,0
107,19,0.333333,0
108,1,0.25,1
108,2,0.25,0
108,14,0.25,0
108,19,0.25,0
109,5,1.0,1
110,11,0.5,1
110,16,0.5,0
111,1,0.333333,1
111,5,0.333333,0
111,11,0.333333,0
112,1,0.25,1
112,2,0.25,0
112,11,0.25,0
112,14,0.25,0
113,1,0.5,1
113,11,0.5,0
114,1,0.333333,1
114,2,0.333333,0
114,11,0.333333,0
115,5,0.5,1
