game_key,language_key,allocation_factor,is_primary
1,20,1.0,1
2,20,0.1,1
2,24,0.1,0
2,38,0.1,0
2,27,0.1,0
2,80,0.1,0
2,39,0.1,0
2,46,0.1,0
2,63,0.1,0
2,69,0.1,0
2,72,0.1,0
3,20,0.1,1
3,24,0.1,0
3,38,0.1,0
3,27,0.1,0
3,80,0.1,0
3,39,0.1,0
3,46,0.1,0
3,63,0.1,0
3,69,0.1,0
3,72,0.1,0
4,20,0.125,1
4,24,0.125,0
4,27,0.125,0
4,62,0.125,0
4,63,0.125,0
4,69,0.125,0
4,72,0.125,0
4,79,0.125,0
5,20,0.1,1
5,39,0.1,0
5,24,0.1,0
5,27,0.1,0
5,80,0.1,0
5,63,0.1,0
5,69,0.1,0
5,19,0.1,0
5,72,0.1,0
5,16,0.1,0
6,20,1.0,1
7,20,0.2,1
7,24,0.2,0
7,38,0.2,0
7,27,0.2,0
7,80,0.2,0
8,20,0.076923,1
8,39,0.076923,0
8,27,0.076923,0
8,69,0.076923,0
8,24,0.076923,0
8,80,0.076923,0
8,72,0.076923,0
8,38,0.076923,0
8,62,0.076923,0
8,63,0.076923,0
8,79,0.076923,0
8,87,0.076923,0
8,91,0.076923,0
9,20,0.111111,1
9,39,0.111111,0
9,46,0.111111,0
9,72,0.111111,0
9,24,0.111111,0
9,38,0.111111,0
9,27,0.111111,0
9,28,0.111111,0
9,79,0.111111,0
10,20,0.5,1
10,27,0.5,0
11,20,0.1,1
11,24,0.1,0
11,38,0.1,0
11,27,0.1,0
11,80,0.1,0
11,39,0.1,0
11,46,0.1,0
11,63,0.1,0
11,72,0.1,0
11,69,0.1,0
12,20,1.0,1
13,20,0.111111,1
13,24,0.111111,0
13,38,0.111111,0
13,27,0.111111,0
13,80,0.111111,0
13,39,0.111111,0
13,63,0.111111,0
13,69,0.111111,0
13,72,0.111111,0
14,20,0.5,1
14,39,0.5,0
15,20,0.5,1
15,72,0.5,0
16,91,0.5,1
16,20,0.5,0
17,20,0.076923,1
17,24,0.076923,0
17,38,0.076923,0
17,27,0.076923,0
17,80,0.076923,0
17,39,0.076923,0
17,46,0.076923,0
