game_key,publisher_key,allocation_factor,is_primary
1,7065,1.0,1
2,2567,1.0,1
3,9099,1.0,1
4,5687,1.0,1
5,6099,1.0,1
6,2566,1.0,1
7,6970,1.0,1
8,5687,1.0,1
9,3579,1.0,1
10,6924,1.0,1
11,1487,1.0,1
12,5041,1.0,1
13,7772,1.0,1
14,3120,1.0,1
15,239,1.0,1
16,898,1.0,1
17,3626,0.5,1
17,650,0.5,0
18,5680,1.0,1
19,3538,1.0,1
20,8064,1.0,1
21,5279,1.0,1
22,5123,1.0,1
23,642,1.0,1
24,7536,1.0,1
25,6604,1.0,1
26,6711,1.0,1
27,7775,1.0,1
28,9167,1.0,1
29,6190,1.0,1
30,4794,1.0,1
31,349,1.0,1
32,6216,1.0,1
33,5151,1.0,1
34,3952,1.0,1
35,714,1.0,1
36,1882,0.5,1
36,49,0.5,0
37,7962,1.0,1
38,2765,1.0,1
39,6782,1.0,1
40,1748,1.0,1
41,8439,1.0,1
42,6835,1.0,1
43,1539,1.0,1
44,5422,1.0,1
45,6984,1.0,1
46,2795,1.0,1
47,6371,1.0,1
48,5116,1.0,1
49,6453,1.0,1
50,700,1.0,1
51,9382,1.0,1
52,6391,1.0,1
53,1756,0.5,1
53,6869,0.5,0
54,1775,1.0,1
55,5522,1.0,1
56,22,1.0,1
57,9303,1.0,1
58,8439,1.0,1
59,31,0.25,1
59,1227,0.25,0
59,9337,0.25,0
59,4775,0.25,0
60,6934,1.0,1
61,7068,1.0,1
62,4201,1.0,1
63,3401,1.0,1
64,1945,1.0,1
65,8837,1.0,1
66,3535,1.0,1
67,6055,1.0,1
68,3862,0.5,1
68,2661,0.5,0
69,494,1.0,1
70,5831,1.0,1
71,8097,1.0,1
72,7819,0.5,1
72,1675,0.5,0
73,5137,1.0,1
74,9410,1.0,1
75,2835,1.0,1
76,1691,1.0,1
77,6502,1.0,1
78,494,1.0,1
79,3952,1.0,1
80,1882,0.5,1
80,2075,0.5,0
81,8382,1.0,1
82,3442,1.0,1
83,7463,1.0,1
84,2007,1.0,1
85,3479,1.0,1
86,8315,1.0,1
87,1945,1.0,1
88,7314,1.0,1
89,1886,1.0,1
90,7607,1.0,1
91,1335,0.5,1
91,4053,0.5,0
92,7229,1.0,1
93,4825,1.0,1
94,465,0.5,1
94,2945,0.5,0
95,9099,1.0,1
96,4608,1.0,1
97,3106,1.0,1
98,1653,1.0,1
99,700,1.0,1
100,2580,1.0,1
101,1896,1.0,1
102,7745,1.0,1
103,2621,1.0,1
104,5457,1.0,1
105,130,1.0,1
106,9294,0.5,1
106,427,0.5,0
