category_key,category_name
1,#category_contrast_controls
2,#category_playable_at_your_own_pace
3,#category_playable_without_vision
4,Adjustable Difficulty
5,Adjustable Text Size
6,Camera Comfort
7,Captions available
8,Chat Speech-to-text
9,Chat Text-to-speech
10,Co-op
11,Color Alternatives
12,Commentary available
13,Cross-Platform Multiplayer
14,Custom Volume Controls
15,DualSense Controller Support
16,DualShock Controller Support
17,Family Sharing
18,Full controller support
19,Game demo
20,Gamepad Recommended
21,HDR available
22,In-App Purchases
23,Includes Source SDK
24,Includes level editor
25,Keyboard Only Option
26,LAN Co-op
27,LAN PvP
28,MMO
29,Mouse Only Option
30,Multi-player
31,Narrated Game Menus
32,Online Co-op
33,Online PvP
34,Partial Controller Support
35,Playable without Timed Input
36,PvP
37,Remote Play Together
38,Remote Play on Phone
39,Remote Play on TV
40,Remote Play on Tablet
41,Save Anytime
42,Shared/Split Screen
43,Shared/Split Screen Co-op
44,Shared/Split Screen PvP
45,Single-player
46,Stats
47,Steam Achievements
48,Steam Cloud
49,Steam Input API Support
50,Steam Leaderboards
51,Steam Timeline
52,Steam Trading Cards
53,Steam Turn Notifications
54,Steam Workshop
55,Stereo Sound
56,Subtitle Options
57,Surround Sound
58,Touch Only Option
59,Tracked Controller Support
60,VR Only
61,VR Support
62,VR Supported
63,Valve Anti-Cheat enabled
