date_key,full_date,day,month,month_name,quarter,year
20150917,2015-09-17,17,9,September,3,2015
20180914,2018-09-14,14,9,September,3,2018
20191122,2019-11-22,22,11,November,4,2019
20200101,2020-01-01,1,1,January,1,2020
20200102,2020-01-02,2,1,January,1,2020
20200103,2020-01-03,3,1,January,1,2020
20200104,2020-01-04,4,1,January,1,2020
20200105,2020-01-05,5,1,January,1,2020
20200106,2020-01-06,6,1,January,1,2020
20200107,2020-01-07,7,1,January,1,2020
20200108,2020-01-08,8,1,January,1,2020
20200109,2020-01-09,9,1,January,1,2020
20200110,2020-01-10,10,1,January,1,2020
20200111,2020-01-11,11,1,January,1,2020
20200112,2020-01-12,12,1,January,1,2020
20200113,2020-01-13,13,1,January,1,2020
20200114,2020-01-14,14,1,January,1,2020
20200115,2020-01-15,15,1,January,1,2020
20200116,2020-01-16,16,1,January,1,2020
20200117,2020-01-17,17,1,January,1,2020
20200118,2020-01-18,18,1,January,1,2020
20200119,2020-01-19,19,1,January,1,2020
20200120,2020-01-20,20,1,January,1,2020
20200121,2020-01-21,21,1,January,1,2020
20200122,2020-01-22,22,1,January,1,2020
20200123,2020-01-23,23,1,January,1,2020
20200124,2020-01-24,24,1,January,1,2020
20200125,2020-01-25,25,1,January,1,2020
20200127,2020-01-27,27,1,January,1,2020
20200128,2020-01-28,28,1,January,1,2020
20200129,2020-01-29,29,1,January,1,2020
20200130,2020-01-30,30,1,January,1,2020
20200131,2020-01-31,31,1,January,1,2020
20200201,2020-02-01,1,2,February,1,2020
20200202,2020-02-02,2,2,February,1,2020
20200203,2020-02-03,3,2,February,1,2020
20200204,2020-02-04,4,2,February,1,2020
20200205,2020-02-05,5,2,February,1,2020
20200206,2020-02-06,6,2,February,1,2020
20200207,2020-02-07,7,2,February,1,2020
20200208,2020-02-08,8,2,February,1,2020
20200209,2020-02-09,9,2,February,1,2020
20200210,2020-02-10,10,2,February,1,2020
20200211,2020-02-11,11,2,February,1,2020
20200212,2020-02-12,12,2,February,1,2020
20200213,2020-02-13,13,2,February,1,2020
20200214,2020-02-14,14,2,February,1,2020
20200215,2020-02-15,15,2,February,1,2020
20200216,2020-02-16,16,2,February,1,2020
20200217,2020-02-17,17,2,February,1,2020
20200218,2020-02-18,18,2,February,1,2020
20200219,2020-02-19,19,2,February,1,2020
20200220,2020-02-20,20,2,February,1,2020
20200221,2020-02-21,21,2,February,1,2020
20200222,2020-02-22,22,2,February,1,2020
20200223,2020-02-23,23,2,February,1,2020
20200224,2020-02-24,24,2,February,1,2020
20200225,2020-02-25,25,2,February,1,2020
20200226,2020-02-26,26,2,February,1,2020
20200227,2020-02-27,27,2,February,1,2020
20200228,2020-02-28,28,2,February,1,2020
20200229,2020-02-29,29,2,February,1,2020
20200301,2020-03-01,1,3,March,1,2020
20200302,2020-03-02,2,3,March,1,2020
20200303,2020-03-03,3,3,March,1,2020
20200304,2020-03-04,4,3,March,1,2020
20200305,2020-03-05,5,3,March,1,2020
20200306,2020-03-06,6,3,March,1,2020
20200307,2020-03-07,7,3,March,1,2020
20200308,2020-03-08,8,3,March,1,2020
20200309,2020-03-09,9,3,March,1,2020
20200310,2020-03-10,10,3,March,1,2020
20200311,2020-03-11,11,3,March,1,2020
20200312,2020-03-12,12,3,March,1,2020
20200313,2020-03-13,13,3,March,1,2020
20200314,2020-03-14,14,3,March,1,2020
20200315,2020-03-15,15,3,March,1,2020
20200316,2020-03-16,16,3,March,1,2020
20200317,2020-03-17,17,3,March,1,2020
20200318,2020-03-18,18,3,March,1,2020
20200319,2020-03-19,19,3,March,1,2020
20200320,2020-03-20,20,3,March,1,2020
20200321,2020-03-21,21,3,March,1,2020
20200322,2020-03-22,22,3,March,1,2020
20200323,2020-03-23,23,3,March,1,2020
20200324,2020-03-24,24,3,March,1,2020
20200325,2020-03-25,25,3,March,1,2020
20200326,2020-03-26,26,3,March,1,2020
20200327,2020-03-27,27,3,March,1,2020
20200328,2020-03-28,28,3,March,1,2020
20200329,2020-03-29,29,3,March,1,2020
20200330,2020-03-30,30,3,March,1,2020
20200331,2020-03-31,31,3,March,1,2020
20200401,2020-04-01,1,4,April,2,2020
20200402,2020-04-02,2,4,April,2,2020
20200403,2020-04-03,3,4,April,2,2020
20200404,2020-04-04,4,4,April,2,2020
20200406,2020-04-06,6,4,April,2,2020
20200407,2020-04-07,7,4,April,2,2020
20200408,2020-04-08,8,4,April,2,2020
20200409,2020-04-09,9,4,April,2,2020
20200410,2020-04-10,10,4,April,2,2020
20200411,2020-04-11,11,4,April,2,2020
20200412,2020-04-12,12,4,April,2,2020
20200413,2020-04-13,13,4,April,2,2020
20200414,2020-04-14,14,4,April,2,2020
20200415,2020-04-15,15,4,April,2,2020
20200416,2020-04-16,16,4,April,2,2020
20200417,2020-04-17,17,4,April,2,2020
20200418,2020-04-18,18,4,April,2,2020
20200419,2020-04-19,19,4,April,2,2020
20200420,2020-04-20,20,4,April,2,2020
20200421,2020-04-21,21,4,April,2,2020
20200422,2020-04-22,22,4,April,2,2020
20200423,2020-04-23,23,4,April,2,2020
20200424,2020-04-24,24,4,April,2,2020
20200425,2020-04-25,25,4,April,2,2020
20200426,2020-04-26,26,4,April,2,2020
20200427,2020-04-27,27,4,April,2,2020
20200428,2020-04-28,28,4,April,2,2020
20200429,2020-04-29,29,4,April,2,2020
20200430,2020-04-30,30,4,April,2,2020
20200501,2020-05-01,1,5,May,2,2020
20200503,2020-05-03,3,5,May,2,2020
20200504,2020-05-04,4,5,May,2,2020
20200505,2020-05-05,5,5,May,2,2020
20200506,2020-05-06,6,5,May,2,2020
20200507,2020-05-07,7,5,May,2,2020
20200508,2020-05-08,8,5,May,2,2020
20200509,2020-05-09,9,5,May,2,2020
20200510,2020-05-10,10,5,May,2,2020
20200511,2020-05-11,11,5,May,2,2020
20200512,2020-05-12,12,5,May,2,2020
20200513,2020-05-13,13,5,May,2,2020
20200514,2020-05-14,14,5,May,2,2020
20200515,2020-05-15,15,5,May,2,2020
20200516,2020-05-16,16,5,May,2,2020
20200517,2020-05-17,17,5,May,2,2020
20200518,2020-05-18,18,5,May,2,2020
20200519,2020-05-19,19,5,May,2,2020
20200520,2020-05-20,20,5,May,2,2020
20200521,2020-05-21,21,5,May,2,2020
20200522,2020-05-22,22,5,May,2,2020
20200523,2020-05-23,23,5,May,2,2020
20200524,2020-05-24,24,5,May,2,2020
20200525,2020-05-25,25,5,May,2,2020
20200526,2020-05-26,26,5,May,2,2020
20200527,2020-05-27,27,5,May,2,2020
20200528,2020-05-28,28,5,May,2,2020
20200529,2020-05-29,29,5,May,2,2020
20200530,2020-05-30,30,5,May,2,2020
20200531,2020-05-31,31,5,May,2,2020
20200601,2020-06-01,1,6,June,2,2020
20200602,2020-06-02,2,6,June,2,2020
20200603,2020-06-03,3,6,June,2,2020
20200604,2020-06-04,4,6,June,2,2020
20200605,2020-06-05,5,6,June,2,2020
20200606,2020-06-06,6,6,June,2,2020
20200607,2020-06-07,7,6,June,2,2020
20200608,2020-06-08,8,6,June,2,2020
20200609,2020-06-09,9,6,June,2,2020
20200610,2020-06-10,10,6,June,2,2020
20200611,2020-06-11,11,6,June,2,2020
20200612,2020-06-12,12,6,June,2,2020
20200613,2020-06-13,13,6,June,2,2020
20200614,2020-06-14,14,6,June,2,2020
20200615,2020-06-15,15,6,June,2,2020
20200616,2020-06-16,16,6,June,2,2020
20200617,2020-06-17,17,6,June,2,2020
20200618,2020-06-18,18,6,June,2,2020
20200619,2020-06-19,19,6,June,2,2020
20200620,2020-06-20,20,6,June,2,2020
20200621,2020-06-21,21,6,June,2,2020
20200622,2020-06-22,22,6,June,2,2020
20200623,2020-06-23,23,6,June,2,2020
20200624,2020-06-24,24,6,June,2,2020
20200625,2020-06-25,25,6,June,2,2020
20200626,2020-06-26,26,6,June,2,2020
20200628,2020-06-28,28,6,June,2,2020
20200629,2020-06-29,29,6,June,2,2020
20200630,2020-06-30,30,6,June,2,2020
20200701,2020-07-01,1,7,July,3,2020
20200702,2020-07-02,2,7,July,3,2020
20200703,2020-07-03,3,7,July,3,2020
20200704,2020-07-04,4,7,July,3,2020
20200705,2020-07-05,5,7,July,3,2020
20200706,2020-07-06,6,7,July,3,2020
20200707,2020-07-07,7,7,July,3,2020
20200708,2020-07-08,8,7,July,3,2020
20200709,2020-07-09,9,7,July,3,2020
20200710,2020-07-10,10,7,July,3,2020
20200711,2020-07-11,11,7,July,3,2020
20200712,2020-07-12,12,7,July,3,2020
20200713,2020-07-13,13,7,July,3,2020
20200714,2020-07-14,14,7,July,3,2020
20200715,2020-07-15,15,7,July,3,2020
20200716,2020-07-16,16,7,July,3,2020
20200717,2020-07-17,17,7,July,3,2020
20200718,2020-07-18,18,7,July,3,2020
20200719,2020-07-19,19,7,July,3,2020
20200720,2020-07-20,20,7,July,3,2020
20200721,2020-07-21,21,7,July,3,2020
20200722,2020-07-22,22,7,July,3,2020
20200723,2020-07-23,23,7,July,3,2020
20200724,2020-07-24,24,7,July,3,2020
20200725,2020-07-25,25,7,July,3,2020
20200726,2020-07-26,26,7,July,3,2020
20200727,2020-07-27,27,7,July,3,2020
20200728,2020-07-28,28,7,July,3,2020
20200729,2020-07-29,29,7,July,3,2020
20200730,2020-07-30,30,7,July,3,2020
20200731,2020-07-31,31,7,July,3,2020
20200801,2020-08-01,1,8,August,3,2020
20200802,2020-08-02,2,8,August,3,2020
20200803,2020-08-03,3,8,August,3,2020
20200804,2020-08-04,4,8,August,3,2020
20200805,2020-08-05,5,8,August,3,2020
20200806,2020-08-06,6,8,August,3,2020
20200807,2020-08-07,7,8,August,3,2020
20200808,2020-08-08,8,8,August,3,2020
