developer_key,developer_name
1,"""Nieko"""
2,#FF0000
3,#workshop
4,& Jimmy
5,"+Mpact Games, LLC."
6,+Umbrella
7,-二律背反-
8,.
9,//commentout
10,0 Deer Soft
11,007berd
12,01 Games
13,011 Games
14,02GAMES
15,07th Expansion
16,0Dark&Nerdy
17,10 Chambers
18,100 Creepy Tales
19,100 GAMES
20,1001 Studio
21,100Hr Games Inc
22,10tons Ltd
23,11000AD
24,12B3
25,13AM Games
26,13TH Division
27,1564 Studio
28,16air
29,17-BIT
30,180°
31,18Light Game Ltd.
32,1917 Studios
33,1939 Games
34,199 Cents STUDIO
35,1CC Games
36,1DER Entertainment
37,1M Bits Horde
38,1MB
39,1UP Factory
40,1actose
41,1classydude
42,2 Devi LLC
43,2 FOR 2
44,2 Ton Studios
45,2054
46,221 Games
47,23:23 Team
48,24 Entertainment
49,"24Frame, inc."
50,2645Interactive
51,26PM
52,26k
53,275
54,29x
55,2Awesome Studio
56,2BIGo
57,2Bit Couch Games
58,2Boone Games
59,2D Digital studio
60,2D_猫
61,2Dogs Games Ltd.
62,2Dynamic Games
63,2KMAGIC STUDIO
64,2P Games
65,2S Games
66,2by3 Games
67,2dragontails
68,2nd Studio
69,2ndBoss
70,2pfrog
71,2pt Interactive
72,2tainment
73,3 O'clock grymlins Team
74,3-Fold Games
75,3-Tricks
76,3.5 Inch Team
77,30 Matches
78,30 Parallel
79,302 Interactive
80,302 Studio
81,314 Arts
82,314 Bytes
83,343 Industries
84,34BigThings srl
85,38 Studios
86,3AM Studios
87,3D Aim Trainer
88,3D Realms
89,3D Visualisation Aesthetics Lab
90,3DAR
91,3DClouds
92,3DPet
93,3DPuss
94,3Mind Games
95,3StrakGames
96,3dcafe
97,3dm_live_wallpapers
98,3f Interactive
99,3m0 studio
100,3xBlast
101,4 Fun Studio
102,404 game
103,404.zero
104,42tones
105,43 Studios
106,430Games
107,4A Games
108,4Co
109,"4DAYS LAB Co., Ltd."
110,4Fishing
111,4G
112,4H StudioLab
113,4ugui
114,5 Lives Studios
115,505 Pulse
116,511GAMES
117,515 Games
118,59 Studio
119,5K Gamers
120,5K studios
121,5TH Cell
122,5WORD Team
123,5am Games GmbH
124,5minlab Corp.
125,6 Pillars Studio
126,6 Toad Games
127,616 GAMES
128,6502 Workshop
129,717 pixels
130,727 Not Hound
131,729白起生贺组
132,751 Games
133,7A Games
134,7CoreLoops
135,7DOTS
136,7Eagle
137,7Levels
138,7Road
139,7TaleZ
140,7shi321
141,7th Beat Games
142,838s Maniacs
143,852話
144,8A studio
145,8AH
146,8BITLAB
147,8BitSkull
148,9 Eyes Game Studio
149,91Act
150,96Brothers
151,99 Game Studio
152,99 Grados Games
153,99cent
154,9FingerGames
155,9Garden
156,9Ratones
157,9heads Game Studios
158,9xgame
159,@unepic_fran
160,A Bunch of Hacks
161,A Grumpy Fox
162,A Man and his Computer
163,A Normal Monkey Studios
164,A Shell in the Pit
165,A. Hagen
166,A.M. Team
167,A.T Interactive Studio
168,A.Y.std
169,A2 Game Studio
170,A2 Softworks
171,A:TroY
172,AAD Games
173,AAD Productions
174,ABShot
175,ABX Games Studio
176,ACE Entertainment
177,ACE Team
178,ACGames
179,ACQUIRE Corp.
180,ACTION SQUARE
181,AD Games
182,ADGS
183,ADO
184,ADOG
185,AEXLAB
186,AFOG
187,AG SOFT
188,AGames
189,AHEARTFULOFGAMES
190,AI mainland Game studio
191,AIHASTO
192,AIRSTRAFE INTERACTIVE
193,AIVIK LLC
194,AIx2 Games
195,AJ Ordaz Games
196,AJB GAMES STUDIO
197,AJRPG
198,AK Studio
199,AKATSUKI-WORKS
200,ALI NASSER ALI AL-SADI
201,ALICE IN DISSONANCE
202,ALIEN studio
203,ALLAF GAMES
204,ALPHAWING Inc.
205,ALT Lab
206,ALTARI GAMES
207,AMATA Games
208,AMMC
209,AMPLITUDE Studios
210,AMPro
211,AN Productions
212,ANG People s.r.o.
213,ANIGRAM
214,AO Games
215,AOne Games
216,APOLLOSOFT
217,AQUAPLUS
218,AQUASTYLE
219,"AQURIA Co., Ltd."
220,AR-BRIDGE
221,AR14.works
222,ARCHWITCH GAMES LLC
223,AREAZERO
224,ARIELEK
225,ARMA GAMES
226,ARP Games
227,ARPSEL
228,ART OF DANCE
229,ARTDINK
230,ARTE France
231,ARTIFACTS
232,ARVI VR INC.
233,ARVORE
234,ARZEST Corp.
235,ASA Games Studio
236,ASK GAMES
237,ASTRO PORT
238,ASUS GLOBAL PTE. LTD
239,ASa Project
240,ATK Games
241,ATLUS
242,ATYPIQUE studio
243,AURORA Games
244,AVAKE
245,AVANTGARDE
246,AVIAR B.V.
247,AVOS'
248,AVROD Technologies Inc.
249,AXE Studio
250,AYCE
251,AYGames
252,AZAMATIKA
253,AZARASHI SOFTWARE
254,Aarimous
255,Aarjvark
256,"Aarne ""MekaSkull"" Hunziker"
257,Aaron Gilbert
258,Aaron Miles
259,Aaron W. Calhoun
260,Aaron Wise
261,Aaron Worcester
262,Aasura Project
263,Aatlantis Code
264,Abandoned House Studios
265,Abbey 'Scruncho' Smith
266,Abbey Games
267,Abdalrahman Shakr Hamid
268,Abducted Monkeys
269,Abdullah Akbas
270,Abenteuerpakete
271,Abhi Sundu
272,Abiding Bridge
273,Abigail Corfman
274,Abracadabra Arts
275,Abrakam Entertainment SA
276,Absolute Power Game Studio
277,AbsoluteZero LLC
278,Abstract Digital
279,AbstractArt
280,AbsurdPoncho
281,Aburasobabiyori
282,Abylight Barcelona
283,Abylight Studios
284,Abysmal Fury Games Inc.
285,Abyssal Studios
286,Abyte Entertainment
287,Ac Games
288,Academtech LLC
289,Acclaim Studios Teesside
290,Acerola
291,Achenar Studios
292,Achimostawinan Games
293,Achpile
294,Achrony
295,Acid Man Games
296,Acid Mines Software UG
297,Acid Nerve
298,AcidicDuck
299,Acme Gamestudio
300,Acram Digital
301,Actawesome
302,Action Forms
303,Action Squad Studios
304,Action Square(STUDIO HG)
305,ActionGames.c.l.r.
306,Active Fungus Studios
307,Active Games
308,Activision Shanghai
309,Actoon Studio
310,Actplus Studio
311,Actual Nerds
312,Actura Studios
313,Acureus
314,Acute Mango
315,Acute Owl Studio
316,Ada Rook
317,Adam D. Smith
318,Adam DeLease
319,Adam Dover
320,Adam Dubi
321,Adam Giles
322,Adam Haase
323,Adam Hrubý
324,Adam Kareem
325,Adam Pype & Viktor Kraus
326,Adam Robezzoli
327,Adam Soutar
328,Adam Teo
329,Adam Thompson
330,Adam Travers
331,Adamvision Studios
332,Adato Games
333,Adelante LTD
334,Adeline Software
335,Adem Kaya RockAKGames
336,Adept Studios GD
337,Adglobe
338,Adhiesc
339,Adi Zhavo
340,Adjective Noun
341,Admia
342,Adobe
343,Adriaan de Jongh
344,Adrian Corpuz
345,Adrian Fox
346,Adrian Marple
347,Adrian Systems
348,Adrienne Lombardo
349,Adrián Corbalán
350,AdroVGames
351,Adventure Islands
352,Adventure Planning Service
353,Adventure Soft
354,Adventure Toe Studios
355,Adventure4Life Studios
356,Aegon Games
357,Aehmttw (Matei Budiu)
358,AeonSparx Interactive
359,Aerial_Knight
360,Aerie Digital
361,Aeromir
362,Aerovery Lab
363,Aesir Interactive
364,Aesthetic Interactive
365,Aestronauts
366,Aeternum Game Studios S.L
367,Aether Studios
368,Aetheric Games
369,Affable Games
370,Affility
371,Affordable Acquisition
372,Affordable Cat
373,Affray Interactive
374,Afil Games
375,Afiq Suradi
376,Afterburn
377,Afterburner Studios
378,Afterschool Studio
379,Agafonoff
380,Agate
381,AgeOfGames
382,Aged Immortals
383,Agelvik
384,Agens
385,Aggro Crab
386,Agiriko
387,Agnieszka Michalska
388,Agostinho Dias
389,Ahldain Michael
390,Ahlman Mansion Team
391,Ahmet Yusuf Yatkın
392,Aiaz Marx
393,Aidan Strong
394,Aikasa Collective
395,AikonCWD
396,Aim VR Studios
397,Aineko Games
398,Airdorf Games
399,Airem
400,Airem Motorsport Tech
401,Airo Games
402,Airship Syndicate
403,Aivaras Ivoškus
404,Aiya Games
405,Ajané J.K. Célestin
406,Akaba Studio
407,Akabaka
408,Akamado Factory
409,Akamurasaki Games
410,Akhir Pekan Studio
411,AksawShin
412,Aktamia
413,Alambik Studio
414,Alan Edwardes
415,Alan Guan
416,Alan Hazelden
417,Alan McMillian
418,"Alan-1, Inc."
419,Alaska
420,Alawar
421,Alawar Casual
422,Alba S. Torremocha
423,Albert Birney
424,Albert Wiatr
425,Alberto Alcides
426,Alberto Cartin
427,Alberto Gnoato
428,Albino Studio
429,Alblune
430,Alcedo Games
431,Alchemy Sheep
432,Aldo Jeffrey
433,Aldorlea
434,Aldorlea Games
435,AleCubicSoft
436,Alec's factory
437,Alejandro Guillen
438,Alejandro Hernández Ferrero
439,Aleksandr Golovkin
440,Aleksandr Kolesnyk
441,Aleksandr Nagaev
442,Aleksandr Turkin
443,Aleksey Izimov
444,Aleksey Skvortsov
445,Aleph Null
446,Alessandro Guzzo
447,Alex
448,Alex Demchenko
449,Alex Douglass - Writer
450,Alex Grade
451,Alex Hetherington
452,Alex Krause
453,Alex Loman
454,Alex Luna
455,Alex Mankin
456,Alex Morris
457,Alex Runnels
458,Alex Suber
459,AlexTykh
460,Alexander Ahura
461,Alexander Bazhenov
462,Alexander Bogdanov
463,Alexander Clark
464,Alexander Doyle - Composer
465,Alexander Feinstein
466,Alexander Gromyko
467,Alexander Koch
468,Alexander Lahti
469,Alexander MacLeod
470,Alexander Sablin
471,Alexander Semenov
472,Alexander Sitnikov
473,Alexander Spillman
474,Alexander Tavintsev
475,Alexander Taylor
476,Alexander Van den Bulck
477,Alexander Westwater
478,Alexandre Kadri
479,Alexandrina Svitsyna
480,Alexey Savelev
481,Alexey Suslin
482,Alexis Dean-Jones
483,Alexis Ruiz
484,Alexis Salazar
485,Alfa System
486,"AlfaSystem Co., Ltd."
487,Algorocks
488,Ali Efe IRALI
489,Ali Kaan BAŞHAN
490,Ali Soltanian Fard Jahromi
491,Alice & Smith
492,Alice Halley
493,Alice Nowak
494,Alien Intelligence UAB
495,Alien Pixel Studios
496,"Alienkingdom Co., Ltd."
497,Aliens Developers
498,Alientrap
499,AlienzProject
500,Aligned Games
501,Alioth Studio
502,Alith Games
503,Alkaline Development LLC
504,Alkemi
505,Alkinoy
506,All in! Games
507,Allan Postal
508,Allen Cayn
509,Allen Games
510,Allocate
511,Alloy Mushroom
512,Ally Taylor
513,Allyson de Souza Bacon
514,Alman
515,Almost Playable Games
516,AlmyriganHero
517,Alon Cohen
518,Alon Zubina
519,Alone Fox Games
520,Alpar Entertainment
521,Alphatik Inc
522,Alpheratz Games
523,Altair Games LLC
524,Alter Games
525,Alternative Software Ltd
526,Altfuture
527,Alto Interactive
528,Aluba Van+
529,Alyson Thiago Lopes
530,Amanda End
531,Amanita Design
532,Amanito Computing
533,Amaterasu Software
534,Amateur Sloth
535,Amaury Hyde
536,Amba Moore
537,Amber S. Fiddlemouth
538,Ambiera
539,Ambitious Games
540,Amends Team
541,Amfich
542,Amhardcore
543,Amicable Animal
544,Ammobox Studios
545,Ammonite Design Studios Ltd
546,Amon26
547,Amonga99
548,Amortiz Games
549,Amrita
550,Amrita Studio
551,Amvrella
552,Amy Xu
553,AmyBeryl
554,Ana Beltran
555,Anabasis
556,Anamik Majumdar
557,Anarch Entertainment
558,Anarchy Games
559,Anarchy97 Games
560,Anarkis Gaming
561,Anate Studio
562,Anatoliy Loginovskikh
563,Ancient Civilizations Enigmas
564,Ancient Games
565,Anden Studios
566,AndeoTEAM
567,Andonis Gaja
568,Andrade Games
569,Andre Elijah Immersive
570,Andre Ledermüller
571,Andrea Demetrio
572,Andreas Georgiou
573,Andreev Worlds
574,Andrei Airinei
575,Andrei Cibotariu
576,Andrei Cretu
577,Andrei Fomin
578,Andres Cartin
579,Andres Cavallin
580,Andrew Hussie
581,Andrew Katz
582,Andrew Kenady
583,Andrew Nutter666 Jaggar
584,Andrew Quist
585,Andrew R.
586,Andrew Rowe
587,Andrew Ryan Henke
588,Andrew Spalato
589,Andrew Teo
590,Andrew Thomas
591,Andrew Willman
592,Andrii Bychkovskyi
593,Andrii Lazariev
594,Andrii Novak
595,Andrii Petrov
596,Andromede Studio
597,Andrzej Jarzyna
598,András Nemes
599,André Facchinetti
600,Andrés Borghi
601,Andy Church
602,Andy DiLallo
603,Andy Law
604,Andy Schmitt
605,Andy Schneider
606,Andy Sum
607,Andy Sztark
608,Andymente
609,AndyzziGames
610,Angad Matharoo
611,Angel Matrix
612,Angel Ramirez - Design Team
613,Angela He
614,Angelo Gamedev
615,Angels Blue Digital Entertainment
616,Angelus
617,Angry Mob Games
618,Animafest Workshop 2019
619,Animal Herb
620,Animal Uprising
621,Animalclaw Of Dreams
622,Animalle Studio
623,Animatic Vision
624,Anime Girl Studio
625,AnimicGame
626,Ankaar Productions
627,Ankama Studio
628,Ankokumarimo
629,Anna Sevryugina
630,Anneka Tran
631,Annonymous
632,Annulus Games
633,Anomaly Games
634,Anomic Games
635,Anonymous Penguin Studio
636,Another Axiom Inc.
637,Another Dev Company
638,Another Reality
639,Another Time
640,Anotherway
641,Anpilov Denis
642,AnretanDEV
643,Anshar Studios
644,Ant Design Games
645,Antab Studio
646,Antena
647,Anthony Seeha
648,Anthony Staines
649,Anti-Pattern Studio
650,Antitesa
651,Antler
652,Antler Interactive
653,Antoine Latour
654,Anton Pauli
655,Anton Pushkarev
656,Antonio Freyre
657,Antti Allén
658,Antti Juotasniemi
659,Antti Mannisto
660,Antti Vaihia
661,Anvil Game Studios
662,Anvio
663,Anxious Neck Games
664,Aoga Games
665,Aolriki
666,Ape Tribe Games
667,ApeHardware
668,Apex Studio
669,AploveStudio
670,Apog Labs
671,Apogee Software
672,Apollo Games Lab
673,Apollo Interactive S.L.
674,Apoptosis Games
675,Appci
676,Appci Inc.
677,Appeal Studio
678,Appeal Studios
679,Apphic Games
680,AppleCoffee
681,Applesauce Dev
682,Applimazing
683,Applique
684,Applykat
685,Appnori Inc.
686,Appnormals Team
687,Apptivus
688,Apricot Heart
689,Apseren
690,Apus Software
691,AquaHeaven Studios
692,Aquila Games
693,Arafkan
694,Arc System Works
695,ArcForged
696,ArcRadius
697,ArcWillow
698,Arcade Distillery
699,Arcade Oven
700,Arcade Theory
701,Arcadia
702,Arcadie & Utopie
703,Arcane Games
704,Arcane Miracle Entertainment
705,Arcanum Team
706,Archangel Studios
707,Archimedes Nicholas Xia
708,Architect Studios
709,Archive Entertainment
710,Archor Wright
711,Archvon_Stafen
712,Archwing Entertainment
713,Arclight Creations
714,Arctic Fox Game Studios
