game_key,steam_appid,name,type,is_free,required_age,initial_price,price_tier,controller_support,dlc_count,achievements_total,content_depth_tier,language_count,price_currency,is_premium
1,1872790,Luckitown,game,0,0,99.0,100-199,0,0,12,medium,1,THB,0
2,1198740,Colony Siege,game,0,0,400.0,300-499,0,0,24,medium,10,THB,0
3,622680,Mayhem in Single Valley,game,0,0,315.0,300-499,1,1,40,high,10,THB,0
4,684450,Surviving the Aftermath,game,0,0,819.0,800+,0,4,74,very high,8,THB,1
5,498310,RPG in a Box,game,0,0,899.0,800+,0,0,25,medium,10,THB,1
6,580640,End State,game,0,0,400.0,300-499,0,0,0,low,1,THB,0
7,599610,Lost Words: Beyond the Page,game,0,0,315.0,300-499,1,1,21,medium,5,THB,0
8,672630,Academia : School Simulator,game,0,0,549.0,500-799,0,0,140,very high,13,THB,1
9,826540,Audio Trip,game,0,0,289.0,200-299,0,3,37,high,9,THB,0
10,914890,Nine Noir Lives,game,0,0,289.0,200-299,0,1,43,high,2,THB,0
11,971690,Cake Bash,game,0,0,289.0,200-299,1,0,20,medium,10,THB,0
12,1054340,Logic World,game,0,0,495.0,300-499,0,1,0,low,1,THB,1
13,1087760,The Gunk,game,0,0,319.0,300-499,1,0,17,medium,9,THB,0
14,891170,The Witch & The 66 Mushrooms,game,0,0,155.0,100-199,0,0,0,low,2,THB,0
15,917150,Godhood,game,0,0,379.0,300-499,0,2,59,very high,2,THB,0
16,931000,"URUZ ""Return of The Er Kishi""",game,0,0,115.0,100-199,1,0,44,high,2,THB,0
17,774791,Surgeon Simulator 2,game,0,0,400.0,300-499,0,0,30,medium,13,THB,0
18,820540,Bloodroots,game,0,0,289.0,200-299,1,0,33,high,8,THB,0
19,962630,Transient: Extended Edition,game,0,0,400.0,300-499,1,1,27,high,9,THB,1
20,976900,Lumberhill,game,0,0,315.0,300-499,1,2,48,high,15,THB,0
21,939790,Royal Alchemist,game,0,0,289.0,200-299,0,2,48,high,1,THB,0
22,994910,"Poker Master - Texas Hold'em, Roulette, Blackjack, Baccarat, Omaha, Slots, Teen Patti, Mahjong, Landlord, Showhand, Bullfighting, Chinese poker",game,1,0,0.0,Free,0,0,52,high,22,FREE,0
23,1124080,Active DBG: Brave's Rage,game,0,0,369.0,300-499,1,0,44,high,4,THB,0
24,1151930,Buissons,game,0,0,175.0,100-199,1,0,0,low,2,THB,0
25,829280,Kaze and the Wild Masks,game,0,0,315.0,300-499,1,1,25,medium,29,THB,0
26,949290,Winkeltje: The Little Shop,game,0,0,315.0,300-499,1,1,24,medium,16,THB,1
27,1013910,Aron's Adventure,game,0,0,379.0,300-499,0,0,31,high,9,THB,0
28,1045010,Russia Roguelike,game,0,0,23.0,1-99,0,0,51,high,2,THB,0
29,1048580,Terje Haakonsen's Powder VR,game,0,0,289.0,200-299,0,0,0,low,1,THB,0
30,1066430,Kwaidan ～Azuma manor story～,game,0,12,275.0,200-299,1,0,9,low,4,THB,0
31,1071130,The Procession to Calvary,game,0,0,199.0,200-299,0,0,21,medium,5,THB,0
32,1092630,Rogue Glitch Ultra,game,0,0,127.49,100-199,1,1,29,high,11,THB,0
33,1189680,Degraman: Act I. Vincent,game,1,0,0.0,Free,0,2,14,medium,2,FREE,0
34,1233260,FAIRY TAIL,game,0,0,1954.0,800+,0,62,44,very high,6,THB,1
35,1250250,NAMCO MUSEUM ARCHIVES Vol 1,game,0,0,399.0,300-499,0,0,12,medium,1,THB,0
36,1273690,Ashwalkers,game,0,0,209.0,200-299,0,1,58,very high,6,THB,0
37,1285020,Flipon,game,0,0,41.0,1-99,1,0,16,medium,9,THB,0
38,1287530,Lords and Villeins,game,0,0,459.0,300-499,0,2,50,high,7,THB,1
39,1310990,Bishojo Mangekyo Kotowari to Meikyu no Shojo,game,0,0,510.0,500-799,0,0,0,low,1,THB,1
40,1325800,Viticulture Essential Edition,game,0,0,239.0,200-299,0,1,5,low,8,THB,0
41,1326000,Sakura Succubus 2,game,0,0,189.0,100-199,0,0,13,medium,2,THB,0
42,1415140,Kandidatos Kart,game,0,0,23.0,1-99,1,0,0,low,1,THB,0
43,1482860,Idle Research,game,1,0,0.0,Free,0,0,99,very high,1,FREE,0
44,1490340,We Are OFK,game,0,0,289.0,200-299,0,2,28,high,1,THB,0
45,1492070,Sker Ritual,game,0,0,369.0,300-499,1,16,52,very high,16,THB,0
46,1501150,Pebble Witch,game,0,0,69.0,1-99,0,0,0,low,1,THB,0
47,1523720,Cook-Out,game,0,0,289.0,200-299,0,0,49,high,7,THB,0
48,1562700,SANABI,game,0,0,315.0,300-499,0,2,21,high,11,THB,0
49,1640760,WORDLAND 2,game,0,0,47.0,1-99,0,0,30,medium,1,THB,0
