language_key,language_name
1,Afrikaans
2,Albanian
3,Amharic
4,Arabic
5,Armenian
6,Assamese
7,Azerbaijani
8,Bangla
9,Basque
10,Belarusian
11,Bosnian
12,Bulgarian
13,Catalan
14,Cherokee
15,Croatian
16,Czech
17,Danish
18,Dari
19,Dutch
20,English
21,Estonian
22,Filipino
23,Finnish
24,French
25,Galician
26,Georgian
27,German
28,Greek
29,Gujarati
30,Hausa
31,Hebrew
32,Hindi
33,Hungarian
34,Icelandic
35,Igbo
36,Indonesian
37,Irish
38,Italian
39,Japanese
40,K'iche'
41,Kannada
42,Kazakh
43,Khmer
44,Kinyarwanda
45,Konkani
46,Korean
47,Kyrgyz
48,Latvian
49,Lithuanian
50,Luxembourgish
51,Macedonian
52,Malay
53,Malayalam
54,Maltese
55,Maori
56,Marathi
57,Mongolian
58,Nepali
59,Norwegian
60,Odia
61,Persian
62,Polish
63,Portuguese - Brazil
64,Portuguese - Portugal
65,Punjabi (Gurmukhi)
66,Punjabi (Shahmukhi)
67,Quechua
68,Romanian
69,Russian
70,Scots
71,Serbian
72,Simplified Chinese
73,Sindhi
74,Sinhala
75,Slovak
76,Slovenian
77,Sorani
78,Sotho
79,Spanish - Latin America
80,Spanish - Spain
81,Swahili
82,Swedish
83,Tajik
84,Tamil
85,Tatar
86,Telugu
87,Thai
88,Tigrinya
89,Traditional Chinese
90,Tswana
91,Turkish
92,Turkmen
93,Ukrainian
94,Urdu
95,Uyghur
96,Uzbek
97,Valencian
98,Vietnamese
99,Welsh
100,Wolof
101,Xhosa
102,Yoruba
103,Zulu
