publisher_key,publisher_name
1,#FF0000
2,& Jimmy
3,"+Mpact Games, LLC."
4,+Umbrella
5,-二律背反-
6,...
7,.orphans
8,0 Deer Soft
9,007berd
10,011 Games
11,02GAMES
12,0Dark&Nerdy
13,0UP GAMES
14,1 Trait Danger
15,10 Chambers
16,100 Creepy Tales
17,100 GAMES
18,1001 Studio
19,100Hr Games Inc
20,101XP
21,10mg
22,10tons Ltd
23,11 bit studios
24,11000AD
25,12B3
26,13TH Division
27,1564 Studio
28,16air
29,17-BIT
30,180°
31,18Light Game Ltd.
32,1917 Studios
33,1939 Games
34,199 Cents STUDIO
35,1DER Entertainment
36,1MB
37,1UP Factory
38,1actose
39,1classydude
40,2 Devi LLC
41,2 FOR 2
42,2 Left Thumbs
43,2 Ton Studios
44,2054
45,207 Studios
46,2124 Publishing
47,221 Games
48,23:23 Team
49,24 Entertainment
50,"24Frame, inc."
51,2645Interactive
52,26PM
53,26k
54,29x
55,2:30 AM Studios
56,2Awesome Studio
57,2Bit Couch Games
58,2Boone Games
59,2D Digital studio
60,2D_猫
61,2K
62,2K Games
63,2KMAGIC STUDIO
64,2P Games
65,2PGames
66,2S Games
67,2dragontails
68,2ndBoss
69,2pt Interactive
70,2tainment
71,3-Fold Games
72,3-Tricks
73,30 Matches
74,30 Parallel
75,300AD
76,302 GAMES INC
77,314 Arts
78,314 Bytes
79,33ParadoX&igstore
80,346lab Localization
81,34BigThings srl
82,3AM Studios
83,3D Aim Trainer
84,3D Realms
85,3D Visualisation Aesthetics Lab
86,3DAR
87,3DM Games
88,3DPet
89,3DPuss
90,3Mind Games
91,3StrakGames
92,3dcafe
93,3dm_live_wallpapers
94,3f Interactive
95,3goo
96,3m0 studio
97,404 game
98,404.zero
99,42tones
100,430Games
101,4Co
102,"4DAYS LAB Co., Ltd."
103,4Divinity
104,4G
105,4H StudioLab
106,4Tabern
107,4ugui
108,505 Games
109,505 Games Official
110,505 Pulse
111,511GAMES
112,515 Games
113,5D Realities
114,5K Gamers
115,5PM Studio
116,5TH Cell
117,5am Games GmbH
118,5minlab Corp.
119,6 Pillars Studio
120,6 Toad Games
121,616 GAMES
122,6502 Workshop
123,69Gate
124,717 pixels
125,727 Not Hound
126,729白起生贺组
127,751 Games
128,7A Games
129,7CoreLoops
130,7DOTS
131,7Eagle
132,7Levels
133,7Road
134,7TaleZ
135,7shi321
136,7th Beat Games
137,838s Maniacs
138,852話
139,856 Studios
140,8AH
141,8BitSkull
142,8Floor
143,8floor
144,9 Eyes Game Studio
145,90% Studios
146,91Act
147,96Brothers
148,99 Grados Games
149,99cent
150,9FingerGames
151,9Garden
152,9heads Game Studios
153,9xgame
154,@ Heliosphere Software
155,A Bunch of Hacks
156,A List Games
157,A Man and his Computer
158,A Normal Monkey Studios
159,A. Hagen
160,A.M. Team
161,A2 Game Studio
162,A2 Softworks
163,A:TroY
164,AAA Game Studios
165,AAD Games
166,AAD Productions
167,AB Developer
168,ACE Entertainment
169,ACGames
170,ACQUIRE Corp.
171,ACTION SQUARE
172,AD Games
173,ADGS
174,ADOG
175,ADO遊戲製作
176,AEXLAB
177,AFIL Games
178,AFOG
179,AG SOFT
180,AGames
181,AGaming+
182,AI mainland Game studio
183,AIRSTRAFE INTERACTIVE
184,AIx2 Games
185,AJB GAMES STUDIO
186,AJRPG
187,AK Communications
188,AK Studio
189,AKM Games
190,AKPublish
191,ALIEN studio
192,ALLAF GAMES
193,ALT Lab
194,AM Productions
195,AMAGAMES
196,AMATA Games
197,AMC Games
198,AMMC Games
199,AMPLITUDE Studios
200,ANG People s.r.o.
201,ANIGRAM
202,ANIPLEX.EXE
203,ANPA.US
204,AO Games
205,AOE Plus
206,APOLLOSOFT
207,AQE
208,AQUASTYLE
209,AR-BRIDGE
210,AR14.works
211,ARCHWTICH GAMES LLC
212,ARIELEK
213,ARMA GAMES
214,ARPSEL
215,ARTE France
216,ARTIFACTS
217,ARVI VR INC.
218,ARVORE Immersive Games Inc.
219,ASA Games Studio
220,ASK GAMES
221,ASUS GLOBAL PTE. LTD
222,AT Limited
223,AT-AT Games
224,ATK Games
225,ATYPIQUE studio
226,AURORA Games
227,AVAKE
228,AVIAR B.V.
229,AVOS'
230,AVROD Technologies Inc.
231,AZAMATIKA
232,Aarimous
233,Aarjvark
234,Aaron Gilbert
235,Aaron Worcester
236,Aasura Project
237,Aatlantis Code
238,Abandoned House Studios
239,Abbey Games
240,Abdalrahman Shakr Hamid
241,Abducted Monkeys
242,Abenteuerpakete
243,Abhi Sundu
244,Abiding Bridge
245,Abracadabra Arts
246,Absolute Power Game Studio
247,AbsoluteZero LLC
248,AbstractArt
249,AbsurdPoncho
250,Abylight Studios
251,Abysmal Fury Games Inc.
252,Abyssal Studios
253,Abyte Entertainment
254,Ac Games
255,Accelerate Games
256,Achenar Studios
257,Achimostawinan Games
258,Achpile
259,Achrony
260,Acid Mines Software UG
261,AcidicDuck
262,Acram Digital
263,Acrossbeavers Studio／翻滾海貍工作室
264,Actawesome
265,ActionGames
266,Active Fungus Studios
267,Active Games
268,Activision
269,Actoon Studio
270,Actplus Studio
271,Actual Nerds
272,Actura Studios
273,Acureus
274,Acute Mango
275,Acute Owl Studio
276,AdTechGames
277,Ada Rook
278,Adam D. Smith
279,Adam DeLease
280,Adam Hrubý
281,Adam Sklar
282,Adam Soutar
283,Adam Thompson
284,Adam Travers
285,AdamDubiGames
286,Adamvision Studios
287,Adato Games
288,Adelante LTD
289,Adem Kaya
290,Adhiesc
291,Adi Zhavo
292,Adjective Noun
293,Admia
294,Adobe
295,Adriaan de Jongh
296,Adrian Corpuz
297,Adrian Fox
298,Adrian Marple
299,Adrian Systems
300,Adrián Corbalán
301,AdroVGames
302,Adventure Islands
303,Adventure4Life Studios
304,Aegon Games
305,Aehmttw (Matei Budiu)
306,Aeon Dream Studios
307,Aerial_Knight Games
308,Aerie Digital
309,Aeromir
310,Aerosoft GmbH
311,Aerovery Lab
312,Aesthetic Interactive
313,Aestronauts
314,Aeternum Game Studios S.L
315,Aether Studios
316,Affable Games
317,Affility
318,Affordable Cat
319,Afil Games
320,Afiq Suradi
321,Afterburn
322,Agafonoff
323,Age of Fear
324,AgeOfGames
325,Aged Immortals
326,Agelvik
327,Agent Emerson LLC
328,Aggro Crab
329,Agiriko
330,Agnieszka Michalska
331,Ahlman Game Studio
332,Ahmet Yusuf Yatkın
333,Aiaz Marx
334,Aidan Strong
335,Aikasa Collective
336,Aim VR Studios
337,Aineko Games
338,Airem
339,Airship Syndicate
340,Aiya Games
341,Akaba Studio
342,Akamurasaki Games
343,Akatsuki Taiwan Inc.
344,Akhir Pekan Studio
345,Akiyamy
346,AksawShin
347,Aksys Games
348,Aktamia
349,Akupara Games
350,Alan Edwardes
351,Alan Guan
352,"Alan-1, Inc."
353,Alaska
354,Alawar
355,Alawar Casual
356,Alawar Entertainment
357,Alberto Alcides
358,Albino Studio
359,Alcedo Games
360,Alcon Interactive Group
361,Aldo Jeffrey
362,Aldorlea
363,Aldorlea Games
364,Alec's factory
365,Alejandro Hernández Ferrero
366,Aleksandr Golovkin
367,Aleksandr Nagaev
368,Aleksandr Turkin
369,Aleksey Izimov
370,Aleksey Skvortsov
371,Aleph Null Ltd.
372,Aleson
373,Alessandro Guzzo
374,Alex
375,Alex Demchenko
376,Alex Grade
377,Alex Hetherington
378,Alex Loman
379,Alex Luna
380,Alex Mankin
381,Alex Suber
382,Alexander Bogdanov
383,Alexander Feinstein
384,Alexander Gromyko
385,Alexander MacLeod
386,Alexander Sablin
387,Alexander Semenov
388,Alexander Spillman
389,Alexander Tavintsev
390,Alexander Taylor
391,Alexander Van den Bulck
392,Alexander Westwater
393,Alexandre Kadri
394,Alexey Suslin
395,Algorocks
396,Ali Efe IRALI
397,Ali Kaan BAŞHAN
398,Alice & Smith
399,Alice Publication
400,Alien Intelligence UAB
401,Alien Pixel Studios
402,Aliens Developers
403,Alientrap
404,Aligned Games
405,Alioth Studio
406,Alkaline Development LLC
407,Alkinoy
408,"All Elite Wrestling, LLC"
409,All in! Games
410,Allen Cayn
411,Allen Games
412,Alliance
413,Alliance Arts
414,Allocate
415,Alman
416,Almost Playable Games
417,AlmyriganHero
418,Alon Cohen
419,Alon Zubina
420,Alone Fox Games
421,Alpar Entertainment
422,Alphatik Inc
423,Altair Games LLC
424,Alternative Software Ltd
425,Altfuture
426,Alto Interactive
427,Aluba Van+
428,Amanita Design
429,Amanito Computing
430,Amaterasu Software
431,Amateur Sloth
432,Amaury Hyde
433,Ambiera
434,Ambitious Games
435,Amhardcore
436,Ammobox Studios
437,Ammonite Design Studios Ltd
438,Amonga99
439,Amortiz Games
440,Amplified Games
441,Amplifier Studios
442,Amrita
443,Amrita Studio
444,AmyBeryl
445,An Otter Team
446,Anabasis
447,Analgesic Productions
448,Analog Chechen Dudes
449,Anamik Majumdar
450,Anarch Entertainment
451,Anarchy Games
452,Anarchy97 Games
453,Anarkis Gaming
454,Anasta
455,Anate Studio
456,Anatoliy Loginovskikh
457,Ancient Civilizations Enigmas
458,Ancient Scroll
459,Anden Studios
460,AndeoTEAM
461,Andonis Gaja
462,Andrade Games
463,Andrea Demetrio
464,Andreas Georgiou
465,Andreev Worlds
466,Andrei Cibotariu
467,Andrei Fomin
468,Andrew Nutter666 Jaggar
469,Andrew Quist
470,Andrew R.
471,Andrew Rowe
472,Andrew Willman
473,Andrii Bychkovskyi
474,Andrii Lazariev
475,Andromeda Project
476,Andromede Studio
477,Andy Church
478,Andy Law
479,Andy Sztark
480,Andymente
481,AndyzziGames
482,Angel And Demons
483,Angela He
484,Angels And Demons
485,Angels and Demons
486,Angelus
487,Angry Mob Games
488,Animalle Studio
