engagement_key,game_key,date_key,platform_key,review_score_key,primary_developer_key,primary_publisher_key,total_positive,total_negative,total_reviews,recommendations,owners,ccu,estimated_revenue,concurrent_engagement_rate,content_depth_score,recommendation_rate
1,1,20220119,3,9,9028,7065,199,41,240,240,35000,1,3465000.0,2.857e-05,12,0.00685714
2,2,20200907,1,9,3331,2567,181,17,198,198,10000,1,4000000.0,0.0001,24,0.0198
3,3,20210520,1,9,3408,9099,150,25,175,175,10000,0,3150000.0,0.0,45,0.0175
4,4,20211116,1,7,4534,5687,2259,865,3124,3123,350000,96,286650000.0,0.00027429,94,0.00892286
5,5,20220510,4,9,7823,6099,400,29,429,426,10000,10,8990000.0,0.001,25,0.0426
6,6,20221201,1,6,3330,2566,87,45,132,132,10000,0,4000000.0,0.0,0,0.0132
7,7,20210406,1,9,8905,6970,601,33,634,635,75000,1,23625000.0,1.333e-05,26,0.00846667
8,8,20210128,3,9,9173,5687,2430,400,2830,2831,350000,27,192150000.0,7.714e-05,140,0.00808857
9,9,20221219,1,9,5242,3579,252,26,278,278,35000,2,10115000.0,5.714e-05,52,0.00794286
10,10,20220907,4,9,8843,6924,105,13,118,118,10000,0,2890000.0,0.0,48,0.0118
11,11,20201014,1,9,4340,1487,441,66,507,508,35000,6,10115000.0,0.00017143,20,0.01451429
12,12,20211022,4,9,6482,5041,316,18,334,334,35000,1,17325000.0,2.857e-05,5,0.00954286
13,13,20220429,1,9,4578,7772,4060,600,4660,4661,150000,16,47850000.0,0.00010667,17,0.03107333
14,14,20201107,1,9,3995,3120,160,26,186,186,75000,0,11625000.0,0.0,0,0.00248
15,15,20200811,1,7,266,239,682,286,968,969,75000,3,28425000.0,4e-05,69,0.01292
16,16,20201002,1,7,1141,898,420,127,547,546,75000,0,8625000.0,0.0,44,0.00728
17,17,20210902,1,6,1406,3626,900,1133,2033,2033,75000,2,30000000.0,2.667e-05,30,0.02710667
18,18,20210312,1,9,7306,5680,201,24,225,225,35000,0,10115000.0,0.0,33,0.00642857
19,19,20201028,1,6,9299,3538,192,88,280,280,75000,0,30000000.0,0.0,32,0.00373333
20,20,20210613,1,7,56,8064,120,35,155,155,35000,0,11025000.0,0.0,58,0.00442857
21,21,20200430,4,9,6780,5279,271,21,292,293,10000,4,2890000.0,0.0004,58,0.0293
22,22,20200923,4,1,6577,5123,0,0,0,0,35000,290,0.0,0.00828571,52,0.0
23,23,20230201,3,9,4511,642,180,43,223,223,10000,0,3690000.0,0.0,44,0.0223
24,24,20210202,1,9,9655,7536,110,4,114,114,10000,0,1750000.0,0.0,0,0.0114
25,25,20210326,1,9,7534,6604,1787,117,1904,1904,35000,4,11025000.0,0.00011429,30,0.0544
26,26,20220422,1,9,8603,6711,1428,180,1608,1608,150000,13,47250000.0,8.667e-05,29,0.01072
27,27,20210407,1,7,9990,7775,152,52,204,204,35000,0,13265000.0,0.0,31,0.00582857
28,28,20200617,1,9,11741,9167,65,8,73,0,10000,0,230000.0,0.0,51,0.0
29,29,20201216,1,6,7935,6190,39,17,56,0,10000,0,2890000.0,0.0,0,0.0
30,30,20200131,1,7,11967,4794,51,14,65,0,10000,0,2750000.0,0.0,9,0.0
31,31,20200409,4,10,4937,349,1176,31,1207,1207,150000,2,29850000.0,1.333e-05,21,0.00804667
32,32,20210310,3,9,7967,6216,152,16,168,168,35000,4,4462150.0,0.00011429,34,0.0048
33,33,20211210,4,8,6607,5151,30,0,30,0,75000,1,0.0,1.333e-05,24,0.0
34,34,20200729,1,7,5098,3952,1142,387,1529,1528,150000,6,293100000.0,4e-05,354,0.01018667
35,35,20200617,1,7,5805,714,134,37,171,172,35000,0,13965000.0,0.0,12,0.00491429
36,36,20210415,1,6,6609,1882,89,46,135,135,10000,1,2090000.0,0.0001,63,0.0135
37,37,20201008,4,9,7544,7962,114,9,123,123,75000,0,3075000.0,0.0,16,0.00164
38,38,20221110,1,7,4387,2765,550,182,732,732,75000,9,34425000.0,0.00012,60,0.00976
39,39,20210620,1,10,11736,6782,2610,109,2719,2717,150000,2,76500000.0,1.333e-05,0,0.01811333
40,40,20200710,4,6,2247,1748,163,71,234,234,35000,4,8365000.0,0.00011429,10,0.00668571
41,41,20200720,4,9,10832,8439,266,26,292,293,35000,0,6615000.0,0.0,13,0.00837143
42,42,20201020,1,9,8742,6835,625,95,720,719,10000,0,230000.0,0.0,0,0.0719
43,43,20220731,4,1,1993,1539,0,0,0,0,350000,81,0.0,0.00023143,99,0.0
44,44,20220818,3,9,6970,5422,253,22,275,275,10000,0,2890000.0,0.0,38,0.0275
45,45,20240418,1,9,10677,6984,4093,810,4903,4912,350000,94,129150000.0,0.00026857,132,0.01403429
46,46,20210125,3,8,3599,2795,10,1,11,0,10000,0,690000.0,0.0,0,0.0
47,47,20210420,1,9,8154,6371,151,18,169,169,10000,6,2890000.0,0.0006,49,0.0169
48,48,20231108,1,10,10663,5116,40173,1126,41299,41308,750000,160,236250000.0,0.00021333,31,0.05507733
49,49,20210603,1,8,8276,6453,20,1,21,0,10000,0,470000.0,0.0,30,0.0
50,50,20210920,1,7,892,700,40,16,56,0,10000,0,690000.0,0.0,25,0.0
51,51,20220207,1,9,12027,9382,75,15,90,0,35000,0,6615000.0,0.0,29,0.0
52,52,20231006,2,9,8181,6391,276,23,299,300,35000,3,8365000.0,8.571e-05,0,0.00857143
53,53,20221116,1,9,217,1756,608,146,754,755,35000,4,24465000.0,0.00011429,30,0.02157143
54,54,20230119,1,7,2278,1775,806,220,1026,1026,75000,7,14175000.0,9.333e-05,35,0.01368
55,55,20220325,1,9,7102,5522,93,4,97,0,75000,0,17538000.0,0.0,16,0.0
56,56,20201119,1,7,22,22,115,33,148,148,75000,0,26175000.0,0.0,22,0.00197333
57,57,20230116,3,6,11916,9303,143,66,209,209,10000,0,1890000.0,0.0,13,0.0209
58,58,20200331,4,9,10832,8439,480,105,585,586,35000,0,6615000.0,0.0,9,0.01674286
59,59,20211118,1,9,31,31,979,87,1066,1066,75000,4,25425000.0,5.333e-05,49,0.01421333
60,60,20200527,1,8,8859,6934,10,1,11,0,10000,0,2200000.0,0.0,15,0.0
61,61,20211020,2,9,9031,7068,242,29,271,271,10000,3,4000000.0,0.0003,68,0.0271
62,62,20200619,1,1,5403,4201,0,0,0,0,75000,0,0.0,0.0,53,0.0
63,63,20200720,1,9,4370,3401,51,9,60,0,10000,0,690000.0,0.0,0,0.0
64,64,20220505,1,7,5515,1945,1421,539,1960,1961,350000,4,140000000.0,1.143e-05,33,0.00560286
65,65,20210219,1,6,11339,8837,16,9,25,0,10000,0,3190000.0,0.0,0,0.0
66,66,20201021,4,9,5201,3535,179,40,219,219,10000,0,3150000.0,0.0,17,0.0219
