playtime_key,game_key,date_key,platform_key,primary_genre_key,primary_category_key,average_forever,average_2weeks,median_forever,median_2weeks,has_playtime
1,1,20220119,3,11,45,148,0,148,0,1
2,2,20200907,1,16,45,487,0,487,0,1
3,3,20210520,1,1,45,119,0,210,0,1
4,4,20211116,1,16,45,1040,0,473,0,1
5,5,20220510,4,14,47,0,0,0,0,0
6,6,20221201,1,1,45,0,0,0,0,0
7,7,20210406,1,2,45,169,0,199,0,1
8,8,20210128,3,11,45,2392,0,410,0,1
9,9,20221219,1,1,45,40,0,55,0,1
10,10,20220907,4,2,45,0,0,0,0,0
11,11,20201014,1,1,45,30,0,34,0,1
12,12,20211022,4,11,45,49,0,49,0,1
13,13,20220429,1,1,45,233,24,213,24,1
14,14,20201107,1,1,45,0,0,0,0,0
15,15,20200811,1,14,45,166,0,241,0,1
16,16,20201002,1,1,45,0,0,0,0,0
17,17,20210902,1,1,45,136,0,105,0,1
18,18,20210312,1,1,45,85,0,85,0,1
19,19,20201028,1,2,45,8,0,8,0,1
20,20,20210613,1,1,45,99,0,144,0,1
21,21,20200430,4,14,45,101,0,101,0,1
22,22,20200923,4,5,30,269,29,113,48,1
23,23,20230201,3,1,45,306,0,431,0,1
24,24,20210202,1,1,30,31,0,31,0,1
25,25,20210326,1,1,45,337,0,418,0,1
26,26,20220422,1,5,45,1268,48,1730,48,1
27,27,20210407,1,1,45,738,0,1460,0,1
28,28,20200617,1,1,45,0,0,0,0,0
29,29,20201216,1,5,45,30,0,46,0,1
30,30,20200131,1,1,45,0,0,0,0,0
31,31,20200409,4,2,45,142,0,161,0,1
32,32,20210310,3,1,45,238,0,146,0,1
33,33,20211210,4,5,45,0,0,0,0,0
34,34,20200729,1,1,45,1320,0,1590,0,1
35,35,20200617,1,1,45,176,0,339,0,1
36,36,20210415,1,2,45,90,0,90,0,1
37,37,20201008,4,5,45,238,0,238,0,1
38,38,20221110,1,11,45,379,0,204,0,1
39,39,20210620,1,2,45,1167,1397,187,1397,1
40,40,20200710,4,5,45,0,0,0,0,0
41,41,20200720,4,16,45,382,0,434,0,1
42,42,20201020,1,5,45,65,0,57,0,1
43,43,20220731,4,2,45,3303,7387,1303,7387,1
44,44,20220818,3,2,45,47,0,55,0,1
45,45,20240418,1,1,45,498,206,347,206,1
46,46,20210125,3,5,45,0,0,0,0,0
47,47,20210420,1,5,45,188,0,149,0,1
48,48,20231108,1,1,45,602,0,569,0,1
49,49,20210603,1,5,45,0,0,0,0,0
50,50,20210920,1,5,45,37,0,37,0,1
51,51,20220207,1,1,45,0,0,0,0,0
52,52,20231006,2,16,45,282,0,455,0,1
53,53,20221116,1,2,45,2614,0,3105,0,1
54,54,20230119,1,11,45,171,0,171,0,1
55,55,20220325,1,2,45,0,0,0,0,0
56,56,20201119,1,1,45,77,0,77,0,1
57,57,20230116,3,11,45,0,0,0,0,0
58,58,20200331,4,5,45,230,0,323,0,1
59,59,20211118,1,1,45,435,0,604,0,1
60,60,20200527,1,2,45,0,0,0,0,0
61,61,20211020,2,1,45,6,0,6,0,1
62,62,20200619,1,5,45,0,0,0,0,0
63,63,20200720,1,1,45,0,0,0,0,0
64,64,20220505,1,1,45,161,0,154,0,1
65,65,20210219,1,1,45,0,0,0,0,0
66,66,20201021,4,2,45,137,0,194,0,1
67,67,20201022,1,2,45,159,0,182,0,1
68,68,20220309,1,1,45,406,0,482,0,1
69,69,20220804,3,2,45,53,0,53,0,1
70,70,20211013,4,2,45,2665,0,778,0,1
71,71,20200710,3,2,45,926,0,1006,0,1
72,72,20230119,1,2,45,426,1,398,1,1
73,73,20240926,3,11,45,164,0,276,0,1
74,74,20220309,1,2,45,0,0,0,0,0
75,75,20210216,3,11,45,34,0,34,0,1
76,76,20210923,1,1,45,275,124,120,124,1
77,77,20231019,3,1,45,91,0,91,0,1
78,78,20200213,3,2,45,130,20,56,20,1
79,79,20200114,1,14,45,1659,0,2331,0,1
80,80,20220421,1,1,45,738,0,762,0,1
81,81,20201125,4,2,45,553,0,859,0,1
82,82,20200305,4,2,45,229,0,229,0,1
83,83,20210930,1,1,45,0,0,0,0,0
84,84,20210414,4,2,45,0,0,0,0,0
85,85,20221012,1,2,45,0,0,0,0,0
86,86,20210727,3,2,45,176,0,240,0,1
87,87,20210218,1,1,45,55,0,63,0,1
88,88,20221130,3,2,45,0,0,0,0,0
89,89,20200421,1,2,45,0,0,0,0,0
90,90,20211116,1,2,45,611,0,272,0,1
91,91,20200721,4,11,45,0,0,0,0,0
92,92,20220919,1,1,45,497,0,497,0,1
93,93,20221014,1,1,45,0,0,0,0,0
94,94,20210723,1,11,45,0,0,0,0,0
95,95,20220927,1,1,45,101,0,104,0,1
96,96,20210317,3,2,45,45,0,54,0,1
97,97,20211025,3,1,45,0,0,0,0,0
98,98,20210513,1,2,45,0,0,0,0,0
99,99,20210604,1,1,45,0,0,0,0,0
100,100,20240104,1,2,45,0,0,0,0,0
101,101,20211018,2,1,45,169,0,171,0,1
102,102,20240731,1,1,45,14,0,22,0,1
103,103,20211007,1,11,45,122,0,122,0,1
104,104,20200128,1,2,45,0,0,0,0,0
105,105,20200814,2,5,45,0,0,0,0,0
106,106,20210202,3,11,45,599,0,522,0,1
107,107,20200117,3,11,45,139,0,185,0,1
108,108,20200604,1,1,45,1929,211,414,212,1
109,109,20200410,3,5,45,0,0,0,0,0
110,110,20200731,1,11,45,100,0,100,0,1
111,111,20200729,1,1,45,0,0,0,0,0
112,112,20230216,1,1,45,400,0,439,0,1
113,113,20201109,1,1,45,0,0,0,0,0
114,114,20220805,1,1,45,0,0,0,0,0
115,115,20210302,1,5,45,0,0,0,0,0
116,116,20200110,1,1,45,90,0,49,0,1
117,117,20221013,1,11,45,114,0,114,0,1
118,118,20210903,1,1,45,0,0,0,0,0
119,119,20211002,1,1,45,726,120,681,120,1
120,120,20210212,1,1,45,77,0,98,0,1
121,121,20201216,1,2,45,1569,0,2075,0,1
122,122,20201209,3,2,45,959,0,1668,0,1
123,123,20201202,1,2,45,1,0,1,0,1
124,124,20201202,1,1,45,0,0,0,0,0
125,125,20210402,1,1,45,65,0,81,0,1
126,126,20210815,4,11,45,1638,0,1676,0,1
127,127,20201204,1,5,45,125,0,125,0,1
128,128,20200928,1,1,45,1030,0,471,0,1
129,129,20200527,1,1,45,0,0,0,0,0
130,130,20200424,3,2,45,129,0,129,0,1
131,131,20200311,3,11,45,80,0,80,0,1
132,132,20200710,4,11,45,181,0,260,0,1
133,133,20220610,1,2,45,0,0,0,0,0
134,134,20210914,1,1,45,606,0,606,0,1
135,135,20200914,1,11,45,0,0,0,0,0
136,136,20211119,1,2,45,2,0,2,0,1
137,137,20210610,3,2,45,221,0,221,0,1
138,138,20211222,1,14,45,4283,0,4283,0,1
139,139,20211021,2,5,45,0,0,0,0,0
140,140,20220830,1,14,45,300,0,593,0,1
141,141,20220504,1,5,45,0,0,0,0,0
142,142,20220427,3,2,45,98,0,98,0,1
143,143,20221109,1,1,45,0,0,0,0,0
144,144,20230215,4,5,45,139,0,192,0,1
145,145,20220420,1,5,45,16,0,16,0,1
146,146,20221219,1,1,45,0,0,0,0,0
147,147,20210623,1,1,45,0,0,0,0,0
148,148,20221030,1,1,45,0,0,0,0,0
149,149,20220118,1,5,45,73,0,91,0,1
150,150,20220204,4,5,45,0,0,0,0,0
151,151,20220921,1,1,45,0,0,0,0,0
152,152,20200722,3,11,45,514,8,486,8,1
153,153,20221025,1,2,45,99,0,99,0,1
154,154,20220204,1,5,45,49,0,78,0,1
155,155,20220831,1,1,45,60,0,86,0,1
156,156,20230110,1,2,45,445,0,445,0,1
157,157,20221024,2,1,45,53,0,53,0,1
